,route_id,census_tract,PovertyRate,MedianFamilyIncome,TractHUNV,TractSNAP
3100,14797,13089023114,16.0,60833,74,138
3103,14797,13089022005,28.3,40893,278,473
3110,14797,13089021909,30.8,36367,380,675
3116,14797,13089021908,36.9,37722,489,588
3120,14797,13089021911,51.9,28085,126,257
3130,14797,13089021805,12.2,52852,135,288
3146,14857,13089023418,13.1,51658,371,749
3147,14789,13089023418,13.1,51658,371,749
3149,14776,13089023418,13.1,51658,371,749
3151,14791,13089023418,13.1,51658,371,749
3160,14857,13089023310,31.0,37283,638,1137
3162,14857,13089023303,24.7,41667,236,591
3171,14857,13089023313,27.2,49671,85,457
3172,14857,13089023306,10.9,58715,23,364
3182,14857,13089023314,12.7,55521,113,330
3190,14857,13089023210,19.1,43053,286,601
3192,14857,13089023209,11.4,66139,62,314
3196,14857,13089023208,19.9,46977,192,502
3201,14857,13089023204,18.0,53765,176,427
3202,14789,13089023204,18.0,53765,176,427
3219,14857,13089023206,20.1,49455,203,635
3220,14789,13089023206,20.1,49455,203,635
3221,14857,13089023111,24.1,54063,8,94
3222,14789,13089023111,24.1,54063,8,94
3304,14791,13089023206,20.1,49455,203,635
3311,14789,13089023507,21.3,43250,242,283
3319,14789,13089023213,16.5,42479,229,490
3320,14776,13089023213,16.5,42479,229,490
3321,14852,13089023213,16.5,42479,229,490
3330,14789,13089023214,19.1,52847,105,430
3331,14776,13089023214,19.1,52847,105,430
3344,14789,13089023310,31.0,37283,638,1137
3353,14776,13089023310,31.0,37283,638,1137
3369,14791,13089023310,31.0,37283,638,1137
3370,14789,13089023303,24.7,41667,236,591
3371,14791,13089023303,24.7,41667,236,591
3451,14791,13089023213,16.5,42479,229,490
3458,14789,13089023211,7.4,60529,15,229
3464,14789,13089023210,19.1,43053,286,601
3492,14776,13089023102,19.9,46847,276,433
3493,14791,13089023102,19.9,46847,276,433
3500,14776,13089023107,27.5,36453,175,409
3511,14776,13089023101,28.5,50221,221,376
3512,14776,13089023501,38.3,27417,341,377
3514,14776,13089023506,18.9,50430,260,523
3530,14776,13089023507,21.3,43250,242,283
3550,14744,13089023102,19.9,46847,276,433
3555,14776,13089023112,49.2,21659,633,795
3556,14744,13089023112,49.2,21659,633,795
3671,14791,13089023107,27.5,36453,175,409
3676,14791,13089023108,47.9,31216,211,612
3681,14785,13089023108,47.9,31216,211,612
3696,14791,13089023507,21.3,43250,242,283
3698,14791,13089023214,19.1,52847,105,430
3702,14791,13089023212,11.1,65673,108,299
3728,14791,13089023309,19.1,49417,184,670
3748,14791,13089023211,7.4,60529,15,229
3753,14785,13089023206,20.1,49455,203,635
3764,14791,13089023111,24.1,54063,8,94
3765,14785,13089023111,24.1,54063,8,94
3770,14791,13089023112,49.2,21659,633,795
3782,14744,13121004800,58.3,15069,217,181
3785,14744,13121004900,28.3,61625,173,216
3786,14785,13121004900,28.3,61625,173,216
3791,14744,13121005000,19.6,113259,11,17
3792,14785,13121005000,19.6,113259,11,17
3805,14744,13121005200,18.8,105561,174,159
3809,14744,13089020900,13.1,68327,172,414
3821,14744,13089023700,33.0,32273,522,717
3827,14744,13089020802,15.7,61458,228,313
3838,14744,13089023101,28.5,50221,221,376
3844,14744,13089022900,9.9,76563,88,165
3880,14744,13089020801,12.7,66509,108,83
3882,14744,13089020700,25.7,91458,129,237
3886,14744,13089020500,13.9,50652,247,163
3896,14744,13121003100,17.9,49132,121,121
3900,14744,13121003200,8.6,87727,83,112
3901,14785,13121003200,8.6,87727,83,112
3913,14785,13121003500,43.4,115096,69,41
3922,14752,13121007500,47.3,21929,712,717
3923,14802,13121007500,47.3,21929,712,717
3924,14803,13121007500,47.3,21929,712,717
3925,14752,13121006700,44.3,22682,505,526
3926,14803,13121006700,44.3,22682,505,526
3927,14752,13121006601,38.7,36161,246,281
3928,14803,13121006601,38.7,36161,246,281
3935,14752,13121005502,42.9,23464,437,491
4005,14785,13121005200,18.8,105561,174,159
4019,14785,13089023700,33.0,32273,522,717
4023,14785,13089020802,15.7,61458,228,313
4033,14785,13089023601,19.3,51176,58,167
4036,14785,13089023501,38.3,27417,341,377
4050,14785,13089023506,18.9,50430,260,523
4061,14785,13089023507,21.3,43250,242,283
4075,14800,13089022005,28.3,40893,278,473
4081,14800,13089022008,45.6,26250,750,1090
4088,14800,13089022007,43.8,28984,292,440
4090,14800,13089022009,39.0,26481,315,744
4093,14800,13089022001,24.7,84045,70,75
4098,14800,13089021704,7.1,111979,62,113
4107,14800,13089021703,7.0,148750,104,72
4108,14800,13089021706,9.6,110938,113,184
4113,14800,13089021810,8.5,93365,159,16
4197,14797,13089021910,14.5,49811,76,360
4212,14797,13089022004,25.1,53068,88,373
4269,14785,13089023107,27.5,36453,175,409
4272,14785,13089023101,28.5,50221,221,376
4288,14785,13089980000,0.0,0,0,0
4315,14785,13121011900,35.5,42431,549,265
4369,14852,13089023412,21.3,53487,250,532
4415,14852,13121004900,28.3,61625,173,216
4419,14852,13121011900,35.5,42431,549,265
4436,14852,13089023414,26.5,53173,164,308
4440,14802,13121006602,61.2,14821,208,197
4441,14845,13121006602,61.2,14821,208,197
4442,14802,13121006601,38.7,36161,246,281
4453,14802,13121011100,12.0,56477,193,154
4462,14802,13121011000,46.9,25513,408,489
4467,14802,13121010800,30.1,55305,339,564
4481,14802,13121012300,21.4,62569,290,222
4489,14802,13121010601,35.8,42188,415,451
4499,14802,13121010603,42.9,26781,459,601
4501,14844,13121012300,21.4,62569,290,222
4563,14845,13121007706,13.9,47470,566,708
4571,14845,13121007705,38.6,28229,568,852
4577,14845,13121007704,28.7,42991,411,495
4584,14845,13121007604,58.9,18446,533,477
4592,14845,13121007603,49.4,17500,995,1087
4608,14845,13121007602,28.5,39330,301,339
4646,14803,13121007001,36.2,27161,343,517
4661,14803,13121007200,39.9,30000,148,207
4675,14844,13121010603,42.9,26781,459,601
4676,14844,13063980000,0.0,0,0,0
4680,14844,13121011303,21.7,50519,492,587
4692,14844,13121010304,4.8,103118,81,512
4699,14844,13121010513,23.7,50176,299,851
4705,14844,13121010511,11.3,49340,103,455
4772,14778,13121010122,3.0,86471,168,21
4773,14806,13121010122,3.0,86471,168,21
4774,14778,13121010119,31.4,32723,262,274
4782,14778,13121010208,10.9,72269,572,215
4790,14778,13121010209,6.0,70848,195,115
4791,14778,13121010118,29.4,31979,332,485
4799,14778,13121010210,8.3,73000,36,87
4808,14778,13121010205,6.9,132813,142,109
4815,14737,13121010205,6.9,132813,142,109
4816,14778,13121010110,11.3,99521,151,165
4820,14737,13121010110,11.3,99521,151,165
4831,14778,13089021215,3.9,106902,220,27
4832,14737,13089021215,3.9,106902,220,27
4854,14778,13121010121,5.7,114886,118,11
4859,14778,13121010123,14.0,62649,30,164
4866,14778,13121010117,6.7,57402,45,86
4891,14806,13121011411,11.9,91275,141,71
