,route_id,stop_id,trip_headsign,stop_name,stop_lat,stop_lon,count_name,census_tract_detail,census_tract,CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractHUNV,TractSNAP
30,14831,908618,BLUE WESTBOUND TO H E HOLMES STATION,GEORGIA STATE STATION,33.750161,-84.385915,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
31,14833,908618,GREEN WESTBOUND TO BANKHEAD STATION,GEORGIA STATE STATION,33.750161,-84.385915,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
32,14831,908990,BLUE WESTBOUND TO H E HOLMES STATION,FIVE POINTS STATION,33.754123,-84.391876,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
33,14833,908990,GREEN WESTBOUND TO BANKHEAD STATION,FIVE POINTS STATION,33.754123,-84.391876,Fulton,1.3121E+14,13121011900,13121011900,Georgia,Fulton,1,2934,1509,0,705,0.2402863,1,1,1,1,1,1,35.5,42431,1,1,1,1,1,0,0,1,1606.482307,2933.999986,1606.482307,962.6572324,1790.484819,962.6572324,2933.999986,0.999999995,1790.484819,0.610253858,534.2938165,0.354071449,258.3236404,0.171188628,1606.482307,0.547539982,962.6572324,0.328104033,333.3397687,0.220901106,166.2981237,0.110204191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,549,265
34,14831,908694,BLUE WESTBOUND TO H E HOLMES STATION,GWCC-CNN CENTER STATION,33.756187,-84.397291,Fulton,1.3121E+14,13121003500,13121003500,Georgia,Fulton,1,2241,767,0,1187,0.5296742,1,1,1,0,0,1,43.4,115096,1,1,1,1,1,0,0,0,1135.23642,2241.000002,1135.23642,697.7377048,1278.263586,697.7377048,2241.000002,1.000000001,1278.263586,0.570398744,78.87885651,0.102840752,53.03035453,0.069139967,1135.23642,0.506575823,697.7377048,0.311351051,67.21034055,0.087627563,35.46779255,0.046242233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,69,41
35,14833,908694,GREEN WESTBOUND TO BANKHEAD STATION,GWCC-CNN CENTER STATION,33.756187,-84.397291,Fulton,1.3121E+14,13121003500,13121003500,Georgia,Fulton,1,2241,767,0,1187,0.5296742,1,1,1,0,0,1,43.4,115096,1,1,1,1,1,0,0,0,1135.23642,2241.000002,1135.23642,697.7377048,1278.263586,697.7377048,2241.000002,1.000000001,1278.263586,0.570398744,78.87885651,0.102840752,53.03035453,0.069139967,1135.23642,0.506575823,697.7377048,0.311351051,67.21034055,0.087627563,35.46779255,0.046242233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,69,41
36,14831,908959,BLUE WESTBOUND TO H E HOLMES STATION,VINE CITY STATION,33.756613,-84.404021,Fulton,1.3121E+14,13121002600,13121002600,Georgia,Fulton,1,914,421,0,0,0,0,1,0,0,0,1,45.4,16607,0,1,0,1,0,0,0,0,0,412.8965102,0,0,267.2441551,0,412.8965102,0.451746729,267.2441551,0.292389666,70.43078548,0.167294027,67.98810067,0.161491926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,173,167
37,14833,908959,GREEN WESTBOUND TO BANKHEAD STATION,VINE CITY STATION,33.756613,-84.404021,Fulton,1.3121E+14,13121002600,13121002600,Georgia,Fulton,1,914,421,0,0,0,0,1,0,0,0,1,45.4,16607,0,1,0,1,0,0,0,0,0,412.8965102,0,0,267.2441551,0,412.8965102,0.451746729,267.2441551,0.292389666,70.43078548,0.167294027,67.98810067,0.161491926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,173,167
38,14831,908964,BLUE WESTBOUND TO H E HOLMES STATION,ASHBY STATION,33.756477,-84.417328,Fulton,1.3121E+14,13121002500,13121002500,Georgia,Fulton,1,1904,779,0,61,0.0320378,0,0,0,0,0,1,43.5,19671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,331,309
39,14833,908964,GREEN WESTBOUND TO BANKHEAD STATION,ASHBY STATION,33.756477,-84.417328,Fulton,1.3121E+14,13121002500,13121002500,Georgia,Fulton,1,1904,779,0,61,0.0320378,0,0,0,0,0,1,43.5,19671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,331,309
