,route_id,trip_headsign,stop_name
387,14847,,SR 85 @ CHURCH ST
389,14847,,SR 138 @ MCELROY DR
390,14847,,SR 138 @ HOWELL LN
391,14847,,SR 138 @ LAKE RIDGE PKWY
392,14847,,SR 138 @ CREEKSIDE LN
393,14847,,SR 138 @ W FAYETTEVILLE RD
394,14847,,SR 138 @ ALBANIA DR
395,14847,,SR 138 @ 2220
396,14847,,SR 138 @ W FAYETTEVILLE RD
397,14847,,SR 138 @ PETUNIA DR
398,14847,,SR 138 @ LAKE RIDGE PKWY
399,14847,,SR 138 @ HOWELL LN
400,14847,,SR 85 @ SR 138
481,14993,,WEST END STATION
484,14764,,WEST END STATION
487,14993,,OGLETHROPE AVE SW @ EVANS ST SW
488,14993,,OGLETHORPE AVE @ JOSEPH E LOWERY BLVD
489,14993,,OGLETHORPE AVE SW@GORDON PL SW
490,14993,,OGLETHORPE AVE SW@PEEPLES ST SW
491,14993,,OGLETHORPE AVE SW@LAWTON ST SW
492,14993,,OGLETHORPE AVE SW@LAWTON ST SW
493,14993,,LAWTON ST SW@MATHEWS ST SW
494,14993,,LAWTON ST SW @ WHITE ST 
495,14993,,LAWTON ST SW@DONNELLY AVE SW
496,14993,,LAWTON ST SW@RICHLAND RD SW
497,14993,,LAWTON ST SW@MONTREAT AVE SW
498,14993,,LAWTON ST SW@MERRILL AVE SW
499,14993,,MERRILL AVE SW@HALL ST SW
500,14993,,MERRILL AVE SW@OAKLAND DR SW
501,14993,,OAKLAND DR SW@ALMONT DR SW
502,14993,,ALMONT DR SW@INDALE PL SW
503,14993,,ALMONT DR SW@EDGEFIELD DR SW
504,14993,,ALMONT DR SW@WYLAND DR SW
505,14993,,WYLAND DR SW@BLUEFIELD DR SW
506,14993,,WYLAND DR SW@LANVALE DR SW
507,14993,,WYLAND DR SW@LYNFORD DR SW
508,14993,,WYLAND DR SW@AVON AVE SW
509,14993,,AVON AVE SW@LORENZO DR SW
510,14993,,AVON AVE SW@KENILWORTH DR SW
511,14993,,AVON AVE SW@ELIZABETH AVE SW
512,14993,,AVON AVE SW@GRAYMONT DR SW
513,14993,,AVON AVE SW@WESTMONT RD SW
514,14993,,WESTMONT RD SW@1285
515,14993,,WESTMONT RD SW@TRACY ST SW
516,14993,,WESTMONT RD SW@1411
517,14993,,WESTMONT RD SW@VENETIAN DR SW
518,14993,,VENETIAN DR SW@LOCKWOOD DR SW
519,14993,,VENETIAN DR SW@WILLOW TRL SW
520,14993,,SANDTOWN RD SW@VENETIAN DR SW
521,14993,,SANDTOWN RD SW@ANIWAKA AVE SW
522,14993,,SANDTOWN RD SW@WICHITA DR SW
523,14993,,SANDTOWN RD SW@WICHITA DR 
524,14993,,SANDTOWN RD SW@LOCKHAVEN CIR SW
525,14993,,SANDTOWN RD SW@LOCKHAVEN CIR 
526,14993,,WESTRIDGE RD@SANDTOWN RD
527,14993,,WESTRIDGE RD SW@BAYBERRY DR SW
528,14993,,WESTRIDGE RD SW@VENETIAN DR SW
529,14993,,VENETIAN DR SW@ALDER LN SW
530,14993,,VENETIAN DR SW@CAHABA DR SW
531,14993,,VENETIAN DR SW@PINEHURST DR SW
532,14993,,VENETIAN DR SW@CENTRA VILLA DR SW
533,14993,,CENTRA VILLA DR @ W CEDAR LN
534,14993,,CENTRA VILLA DR @ HONEYSUCKLE LN
535,14993,,CENTRA VILLA DR SW @ CAMPBELLTON RD SW
536,14993,,DELOWE DR @ CAMPBELLTON RD
537,14993,,DELOWE DR @ ALISON CT
538,14993,,DELOWE DR @ W WOODBERRY AVE
539,14993,,DELOWE DR@CONNALLY DR
540,14993,,DELOWE DR@ELINWOOD DR
541,14993,,DELOWE DR@HEADLAND DR
542,14993,,DELOWE DR @ HEADLAND DR
543,14993,,DELOWE DR@LEITH AVE
544,14993,,DELOWE DR @ 2587
545,14993,,DELOWE DR@MONTROSE DR
546,14993,,DELOWE DR@LUTHER DR
547,14993,,DELOWE DR @ DORSEY AVE
548,14993,,DORSEY AVE @ 2207
549,14993,,DORSEY AVE @ LANCASTER DR
550,14993,,LANCASTER DR @ 2839
551,14993,,LANCASTER DR @ PLANTATION DR
552,14993,,PLANTATION DR@DORSEY AVE
553,14993,,MONTROSE DR @ PLANTATION DR
554,14993,,GRAYWALL ST @ ENGLEWOOD DR
555,14993,,GRAYWALL ST @ OLD COLONY RD
556,14993,,OLD COLONY RD@RIGGS DR
557,14993,,OLD COLONY RD@WESTCHESTER DR
558,14993,,OLD COLONY RD@2485
559,14993,,OLD COLONY RD@RANTIN DR
560,14993,,OLD COLONY RD@BRYANT DR
561,14993,,BRYANT DR@WOODHILL LN
562,14993,,BRYANT DR @ S BRYAN CIR
563,14993,,BRYANT DR @ N BRYAN CIR
564,14993,,BRYANT DR @ HEADLAND DR
565,14993,,HEADLAND DR @ 2472
566,14993,,HEADLAND DR @ GRAYWALL ST
567,14993,,HEADLAND DR@PLANTATION DR
568,14993,,HEADLAND DR@FARLEY ST
569,14993,,HEADLAND DR @ RIDGECREST LN
570,14993,,HEADLAND DR @ DELOWE DR
571,14993,,HEADLAND DR@KIMMRIDGE DR
572,14993,,HEADLAND DR @ HILLCREST DR
573,14993,,HEADLAND DR @ WARREN WAY
574,14993,,NORMAN BERRY DR@SEMMES ST
575,14993,,NORMAN BERRY DR@LESTER ST
576,14993,,W FORREST AVE @ CHENEY ST
577,14993,,W FORREST AVE @ CHURCH ST
578,14993,,EAST POINT ST @ WARE AVE
579,14993,,CLEVELAND AVE @ MAIN ST
580,14993,,EAST POINT STATION
583,14804,,EAST POINT STATION
584,14768,,EAST POINT STATION
589,14993,,MAIN ST @ CLEVELAND AVE
590,14993,,MAIN ST @ WARE AVE
591,14993,,MAIN ST @ W FORREST AVE
592,14993,,CONNALLY DR @ MAIN ST
593,14993,,NORMAN BERRY DR@LESTER ST
594,14993,,NORMAN BERRY DR@SEMMES ST
595,14993,,NORMAN BERRY DR@LUMPKIN ST
596,14993,,HEADLAND DR @ HILLCREST DR
597,14993,,HEADLAND DR@BROAD AVE
598,14993,,DELOWE DR @ HEADLAND DR
599,14993,,DELOWE DR @ ELINWOOD DR
600,14993,,DELOWE DR @ CONNALLY DR
601,14993,,DELOWE DR @ 2162
602,14993,,DELOWE DR@DEWBERRY LN
603,14993,,DELOWE DR SW @ ALISON CT
604,14993,,DELOWE DR SW @ DELOWE PL SW
605,14993,,DELOWE DR SW @ CAMPBELLTON RD SW
606,14993,,CENTRA VILLA DR SW @ CAMPBELLTON RD SW
607,14993,,CENTRA VILLA DR SW @ HONEYSUCKLE SW
608,14993,,CENTRA VILLA DR SW @ E CEDAR LN SW
609,14993,,VENETIAN DR SW@PINEHURST DR SW
610,14993,,VENETIAN DR SW@CAHABA DR SW
611,14993,,VENETIAN DR SW@ALDER  SW
612,14993,,VENETIAN DR SW@WILLOWBROOK DR SW
613,14993,,WESTRIDGE RD SW@BAYBERRY DR SW
614,14993,,WESTRIDGE RD SW@CUMMINGS DR SW
615,14993,,SANDTOWN RD SW@WESTRIDGE RD 
616,14993,,SANDTOWN RD SW@MORAY ST SW
617,14993,,SANDTOWN RD SW@WICHITA DR SW
618,14993,,SANDTOWN RD SW@WICHITA DR SW
619,14993,,SANDTOWN RD SW@ANIWAKA AVE SW
620,14993,,SANDTOWN RD SW@VENETIAN DR SW
621,14993,,VENETIAN DR SW@WILLOW TRL SW
622,14993,,VENETIAN DR SW@LOCKWOOD DR SW
623,14993,,WESTMONT RD SW@VENETIAN DR SW
624,14993,,WESTMONT RD SW@1420
625,14993,,WESTMONT RD SW@TRACY ST
